ID Client,Date Passage,Etablissement,Designation,Quantite,Type Forfait
1007,2023-10-01,Arkose Paris,Pack 10 séances,1,Pack
1007,2023-10-07,Arkose Lyon,Abonnement mensuel,1,Abonnement
1008,2023-11-12,Arkose Lyon,Abonnement mensuel,1,Abonnement
1008,2023-09-28,Arkose Bordeaux,Pack 10 séances,2,Pack
1008,2022-10-07,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1009,2023-12-26,Arkose Lyon,Pack 10 séances,2,Pack
1009,2023-09-12,Arkose Paris,Pack 10 séances,1,Pack
1009,2023-12-31,Arkose Bordeaux,Pack 10 séances,1,Pack
1009,2023-12-31,Arkose Paris,Abonnement mensuel,2,Abonnement
1009,2023-11-26,Arkose Paris,Pack 10 séances,1,Pack
1009,2023-11-19,Arkose Paris,1 séance plein tarif,2,Unité
1009,2023-10-13,Arkose Bordeaux,Pack 10 séances,2,Pack
1009,2023-09-28,Arkose Paris,Abonnement mensuel,1,Abonnement
1009,2023-11-23,Arkose Lyon,Pack 10 séances,1,Pack
1010,2023-12-29,Arkose Paris,1 séance plein tarif,1,Unité
1010,2023-03-15,Arkose Paris,1 séance plein tarif,1,Unité
1010,2023-11-22,Arkose Paris,Pack 10 séances,1,Pack
1010,2023-10-18,Arkose Paris,Abonnement mensuel,1,Abonnement
1010,2023-03-21,Arkose Bordeaux,Pack 10 séances,1,Pack
1010,2023-07-13,Arkose Bordeaux,Pack 10 séances,2,Pack
1010,2023-11-17,Arkose Paris,Abonnement mensuel,2,Abonnement
1010,2023-07-05,Arkose Lyon,Abonnement mensuel,1,Abonnement
1010,2023-03-12,Arkose Paris,1 séance plein tarif,2,Unité
1011,2023-09-26,Arkose Paris,1 séance plein tarif,1,Unité
1011,2023-03-19,Arkose Paris,Pack 10 séances,1,Pack
1011,2023-05-03,Arkose Paris,Pack 10 séances,1,Pack
1011,2023-06-15,Arkose Lyon,Abonnement mensuel,1,Abonnement
1011,2023-12-16,Arkose Paris,Pack 10 séances,1,Pack
1011,2023-12-08,Arkose Paris,1 séance plein tarif,2,Unité
1011,2023-07-14,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1011,2023-09-23,Arkose Paris,1 séance plein tarif,1,Unité
1011,2023-11-06,Arkose Paris,Abonnement mensuel,1,Abonnement
1012,2022-03-12,Arkose Lyon,Pack 10 séances,1,Pack
1012,2023-06-16,Arkose Paris,Pack 10 séances,1,Pack
1012,2022-08-31,Arkose Bordeaux,Abonnement mensuel,2,Abonnement
1012,2022-11-27,Arkose Paris,Pack 10 séances,3,Pack
1013,2023-12-26,Arkose Paris,1 séance plein tarif,3,Unité
1013,2023-10-07,Arkose Lyon,Pack 10 séances,1,Pack
1013,2023-09-25,Arkose Paris,1 séance plein tarif,1,Unité
1013,2023-12-02,Arkose Paris,Pack 10 séances,1,Pack
1013,2023-12-30,Arkose Lyon,Abonnement mensuel,2,Abonnement
1013,2023-09-16,Arkose Lyon,1 séance plein tarif,1,Unité
1013,2023-10-08,Arkose Paris,Pack 10 séances,2,Pack
1013,2023-11-21,Arkose Bordeaux,Pack 10 séances,1,Pack
1013,2023-11-29,Arkose Paris,1 séance plein tarif,1,Unité
1013,2023-12-01,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1013,2023-12-04,Arkose Lyon,Pack 10 séances,1,Pack
1013,2023-11-06,Arkose Lyon,Abonnement mensuel,1,Abonnement
1014,2023-09-21,Arkose Lyon,Pack 10 séances,1,Pack
1014,2023-11-18,Arkose Paris,Abonnement mensuel,1,Abonnement
1014,2023-11-01,Arkose Lyon,Abonnement mensuel,3,Abonnement
1014,2023-10-15,Arkose Paris,Abonnement mensuel,1,Abonnement
1014,2023-12-21,Arkose Bordeaux,1 séance plein tarif,1,Unité
1014,2023-10-24,Arkose Bordeaux,1 séance plein tarif,1,Unité
1014,2023-11-01,Arkose Lyon,Abonnement mensuel,3,Abonnement
1014,2023-11-04,Arkose Paris,1 séance plein tarif,1,Unité
1014,2023-09-09,Arkose Lyon,Abonnement mensuel,1,Abonnement
1014,2023-10-04,Arkose Paris,1 séance plein tarif,2,Unité
1014,2023-12-28,Arkose Paris,1 séance plein tarif,2,Unité
1014,2023-09-25,Arkose Lyon,Pack 10 séances,1,Pack
1014,2023-11-28,Arkose Lyon,Pack 10 séances,1,Pack
1014,2023-12-01,Arkose Paris,Pack 10 séances,2,Pack
1015,2023-12-19,Arkose Bordeaux,Pack 10 séances,1,Pack
1015,2023-10-02,Arkose Paris,Abonnement mensuel,2,Abonnement
1015,2023-11-21,Arkose Bordeaux,Pack 10 séances,1,Pack
1015,2023-11-04,Arkose Paris,Abonnement mensuel,1,Abonnement
1015,2023-12-28,Arkose Paris,Pack 10 séances,3,Pack
1015,2023-11-15,Arkose Lyon,Abonnement mensuel,2,Abonnement
1015,2023-11-23,Arkose Bordeaux,Pack 10 séances,3,Pack
1015,2023-10-27,Arkose Paris,Pack 10 séances,1,Pack
1015,2023-09-15,Arkose Lyon,Pack 10 séances,2,Pack
1015,2023-10-02,Arkose Bordeaux,1 séance plein tarif,2,Unité
1015,2023-09-17,Arkose Paris,1 séance plein tarif,1,Unité
1016,2023-12-26,Arkose Bordeaux,1 séance plein tarif,1,Unité
1016,2023-12-02,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1016,2023-07-28,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1016,2023-10-17,Arkose Lyon,Abonnement mensuel,1,Abonnement
1016,2023-11-17,Arkose Paris,Pack 10 séances,1,Pack
1016,2023-06-28,Arkose Paris,1 séance plein tarif,1,Unité
1016,2023-10-20,Arkose Paris,1 séance plein tarif,1,Unité
1017,2023-10-01,Arkose Lyon,Abonnement mensuel,2,Abonnement
1017,2023-10-26,Arkose Paris,Pack 10 séances,1,Pack
1017,2023-12-23,Arkose Paris,Abonnement mensuel,1,Abonnement
1017,2023-10-12,Arkose Bordeaux,1 séance plein tarif,3,Unité
1017,2023-11-27,Arkose Lyon,Pack 10 séances,1,Pack
1017,2023-12-04,Arkose Paris,Abonnement mensuel,1,Abonnement
1017,2023-11-12,Arkose Paris,Abonnement mensuel,1,Abonnement
1017,2023-09-26,Arkose Bordeaux,Pack 10 séances,1,Pack
1017,2023-11-24,Arkose Lyon,1 séance plein tarif,1,Unité
1017,2023-12-01,Arkose Paris,Pack 10 séances,1,Pack
1017,2023-12-06,Arkose Bordeaux,1 séance plein tarif,1,Unité
1017,2023-10-01,Arkose Bordeaux,Pack 10 séances,1,Pack
1018,2023-10-25,Arkose Bordeaux,Pack 10 séances,2,Pack
1018,2023-12-18,Arkose Lyon,Abonnement mensuel,2,Abonnement
1018,2023-12-09,Arkose Paris,1 séance plein tarif,1,Unité
1018,2023-10-22,Arkose Paris,Abonnement mensuel,1,Abonnement
1018,2023-12-25,Arkose Lyon,1 séance plein tarif,2,Unité
1018,2023-12-30,Arkose Lyon,Abonnement mensuel,3,Abonnement
1018,2023-12-30,Arkose Paris,Pack 10 séances,1,Pack
1018,2023-10-23,Arkose Paris,Pack 10 séances,1,Pack
1019,2023-11-03,Arkose Paris,Pack 10 séances,1,Pack
1019,2023-10-06,Arkose Paris,1 séance plein tarif,1,Unité
1019,2023-12-12,Arkose Paris,Abonnement mensuel,1,Abonnement
1019,2023-09-29,Arkose Lyon,Pack 10 séances,2,Pack
1019,2023-09-22,Arkose Bordeaux,Pack 10 séances,2,Pack
1019,2023-11-22,Arkose Paris,1 séance plein tarif,1,Unité
1019,2023-10-14,Arkose Paris,Abonnement mensuel,1,Abonnement
1019,2023-11-23,Arkose Paris,Abonnement mensuel,1,Abonnement
1020,2023-12-03,Arkose Paris,Abonnement mensuel,1,Abonnement
1020,2023-10-28,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1020,2023-12-18,Arkose Paris,Abonnement mensuel,1,Abonnement
1020,2023-10-19,Arkose Paris,1 séance plein tarif,1,Unité
1020,2023-10-21,Arkose Paris,Pack 10 séances,2,Pack
1020,2023-12-25,Arkose Bordeaux,Pack 10 séances,2,Pack
1020,2023-09-13,Arkose Bordeaux,Abonnement mensuel,2,Abonnement
1020,2023-12-29,Arkose Lyon,1 séance plein tarif,1,Unité
1020,2023-11-22,Arkose Paris,Pack 10 séances,2,Pack
1020,2023-12-21,Arkose Paris,Abonnement mensuel,2,Abonnement
1020,2023-12-14,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1020,2023-09-05,Arkose Paris,Abonnement mensuel,1,Abonnement
1021,2023-12-11,Arkose Paris,Pack 10 séances,1,Pack
1021,2023-12-05,Arkose Paris,Pack 10 séances,1,Pack
1021,2023-10-31,Arkose Paris,1 séance plein tarif,1,Unité
1021,2023-10-09,Arkose Lyon,Pack 10 séances,1,Pack
1021,2023-12-29,Arkose Lyon,1 séance plein tarif,1,Unité
1021,2023-11-13,Arkose Bordeaux,Pack 10 séances,1,Pack
1021,2023-09-07,Arkose Paris,Pack 10 séances,1,Pack
1021,2023-11-27,Arkose Paris,Abonnement mensuel,1,Abonnement
1021,2023-09-06,Arkose Paris,Abonnement mensuel,1,Abonnement
1021,2023-12-12,Arkose Lyon,Abonnement mensuel,2,Abonnement
1022,2023-03-10,Arkose Paris,1 séance plein tarif,1,Unité
1022,2022-06-28,Arkose Paris,1 séance plein tarif,1,Unité
1022,2022-08-16,Arkose Lyon,Pack 10 séances,1,Pack
1023,2023-12-05,Arkose Paris,Pack 10 séances,1,Pack
1023,2023-07-22,Arkose Bordeaux,Pack 10 séances,1,Pack
1023,2023-06-21,Arkose Paris,Abonnement mensuel,1,Abonnement
1023,2023-04-20,Arkose Paris,Pack 10 séances,3,Pack
1024,2023-10-10,Arkose Paris,Pack 10 séances,1,Pack
1024,2023-10-18,Arkose Paris,1 séance plein tarif,2,Unité
1024,2023-12-05,Arkose Bordeaux,Pack 10 séances,1,Pack
1024,2023-12-13,Arkose Paris,Abonnement mensuel,1,Abonnement
1024,2023-12-13,Arkose Paris,Pack 10 séances,1,Pack
1024,2023-09-23,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1024,2023-10-16,Arkose Lyon,Abonnement mensuel,1,Abonnement
1024,2023-11-20,Arkose Paris,Abonnement mensuel,3,Abonnement
1024,2023-11-24,Arkose Paris,Pack 10 séances,1,Pack
1024,2023-11-19,Arkose Lyon,Abonnement mensuel,1,Abonnement
1024,2023-11-11,Arkose Lyon,Abonnement mensuel,1,Abonnement
1024,2023-09-10,Arkose Paris,Pack 10 séances,1,Pack
1024,2023-09-22,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1025,2022-11-01,Arkose Lyon,Pack 10 séances,1,Pack
1025,2022-03-25,Arkose Bordeaux,1 séance plein tarif,1,Unité
1026,2024-01-01,Arkose Paris,Pack 10 séances,1,Pack
1026,2023-10-25,Arkose Lyon,Abonnement mensuel,1,Abonnement
1026,2022-06-06,Arkose Bordeaux,Pack 10 séances,2,Pack
1026,2022-05-27,Arkose Paris,Abonnement mensuel,1,Abonnement
1027,2023-08-23,Arkose Lyon,1 séance plein tarif,2,Unité
1027,2023-03-29,Arkose Paris,1 séance plein tarif,1,Unité
1027,2023-10-05,Arkose Paris,Pack 10 séances,1,Pack
1027,2023-08-12,Arkose Lyon,Abonnement mensuel,1,Abonnement
1027,2023-05-23,Arkose Paris,Abonnement mensuel,1,Abonnement
1027,2023-09-14,Arkose Lyon,1 séance plein tarif,1,Unité
1027,2023-10-09,Arkose Bordeaux,Pack 10 séances,1,Pack
1027,2023-09-07,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1027,2023-03-15,Arkose Paris,Pack 10 séances,1,Pack
1028,2023-12-12,Arkose Paris,Abonnement mensuel,1,Abonnement
1028,2023-08-31,Arkose Bordeaux,Pack 10 séances,1,Pack
1028,2023-03-31,Arkose Paris,Abonnement mensuel,1,Abonnement
1028,2023-11-11,Arkose Lyon,1 séance plein tarif,1,Unité
1028,2023-08-19,Arkose Paris,Pack 10 séances,2,Pack
1028,2023-10-17,Arkose Paris,Abonnement mensuel,1,Abonnement
1028,2023-09-16,Arkose Paris,Pack 10 séances,2,Pack
1028,2023-05-06,Arkose Lyon,Abonnement mensuel,3,Abonnement
1028,2023-04-14,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1029,2023-09-05,Arkose Lyon,Pack 10 séances,1,Pack
1029,2023-12-07,Arkose Paris,Pack 10 séances,1,Pack
1029,2023-11-21,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1029,2023-11-26,Arkose Paris,Pack 10 séances,2,Pack
1029,2023-11-24,Arkose Lyon,Abonnement mensuel,1,Abonnement
1029,2023-09-27,Arkose Paris,Abonnement mensuel,1,Abonnement
1029,2023-09-16,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1029,2023-11-15,Arkose Paris,Abonnement mensuel,1,Abonnement
1029,2023-12-22,Arkose Paris,Abonnement mensuel,1,Abonnement
1029,2023-12-08,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1029,2023-10-27,Arkose Paris,Pack 10 séances,2,Pack
1029,2023-10-19,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1030,2023-03-20,Arkose Paris,Abonnement mensuel,1,Abonnement
1030,2023-01-14,Arkose Lyon,Pack 10 séances,1,Pack
1031,2023-10-26,Arkose Paris,1 séance plein tarif,1,Unité
1031,2023-11-19,Arkose Paris,Pack 10 séances,2,Pack
1031,2023-11-13,Arkose Lyon,Abonnement mensuel,1,Abonnement
1031,2023-10-08,Arkose Lyon,1 séance plein tarif,1,Unité
1031,2023-10-13,Arkose Bordeaux,Pack 10 séances,1,Pack
1031,2023-12-11,Arkose Lyon,1 séance plein tarif,1,Unité
1031,2023-12-02,Arkose Lyon,Abonnement mensuel,1,Abonnement
1031,2023-12-03,Arkose Paris,1 séance plein tarif,1,Unité
1031,2023-12-21,Arkose Bordeaux,Pack 10 séances,1,Pack
1031,2023-12-10,Arkose Paris,Abonnement mensuel,3,Abonnement
1031,2023-09-20,Arkose Lyon,Abonnement mensuel,1,Abonnement
1031,2023-10-10,Arkose Lyon,Abonnement mensuel,2,Abonnement
1031,2023-11-30,Arkose Lyon,Pack 10 séances,1,Pack
1031,2023-12-19,Arkose Paris,Abonnement mensuel,1,Abonnement
1032,2023-10-03,Arkose Paris,Pack 10 séances,2,Pack
1032,2023-11-01,Arkose Paris,Pack 10 séances,1,Pack
1032,2023-11-28,Arkose Lyon,Pack 10 séances,1,Pack
1032,2023-09-08,Arkose Paris,1 séance plein tarif,1,Unité
1032,2023-10-12,Arkose Lyon,Pack 10 séances,1,Pack
1032,2023-10-16,Arkose Bordeaux,1 séance plein tarif,1,Unité
1032,2023-10-21,Arkose Paris,Abonnement mensuel,1,Abonnement
1032,2023-11-28,Arkose Paris,1 séance plein tarif,1,Unité
1032,2023-12-08,Arkose Lyon,Pack 10 séances,1,Pack
1033,2023-09-14,Arkose Bordeaux,1 séance plein tarif,1,Unité
1033,2023-12-08,Arkose Lyon,Abonnement mensuel,1,Abonnement
1033,2023-12-08,Arkose Paris,Abonnement mensuel,2,Abonnement
1033,2023-08-27,Arkose Paris,Abonnement mensuel,1,Abonnement
1034,2023-07-26,Arkose Paris,Pack 10 séances,1,Pack
1034,2023-03-21,Arkose Paris,1 séance plein tarif,1,Unité
1034,2023-08-25,Arkose Paris,1 séance plein tarif,1,Unité
1034,2023-10-11,Arkose Paris,Abonnement mensuel,2,Abonnement
1034,2023-04-14,Arkose Lyon,Abonnement mensuel,1,Abonnement
1034,2023-09-21,Arkose Paris,Abonnement mensuel,1,Abonnement
1034,2023-05-26,Arkose Lyon,Pack 10 séances,1,Pack
1035,2023-10-31,Arkose Paris,Abonnement mensuel,1,Abonnement
1035,2023-10-02,Arkose Paris,Abonnement mensuel,1,Abonnement
1035,2023-12-28,Arkose Paris,Pack 10 séances,1,Pack
1035,2023-09-06,Arkose Lyon,Pack 10 séances,1,Pack
1035,2023-09-04,Arkose Lyon,Abonnement mensuel,1,Abonnement
1035,2023-09-10,Arkose Lyon,Abonnement mensuel,1,Abonnement
1035,2023-12-01,Arkose Paris,Abonnement mensuel,1,Abonnement
1035,2023-10-31,Arkose Paris,Abonnement mensuel,1,Abonnement
1035,2023-10-26,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1035,2023-09-25,Arkose Paris,Abonnement mensuel,1,Abonnement
1035,2023-12-12,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1036,2023-08-26,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1036,2023-05-05,Arkose Paris,1 séance plein tarif,1,Unité
1036,2023-06-13,Arkose Paris,Abonnement mensuel,1,Abonnement
1036,2023-10-15,Arkose Bordeaux,Pack 10 séances,2,Pack
1037,2023-10-29,Arkose Paris,Abonnement mensuel,1,Abonnement
1037,2023-10-07,Arkose Lyon,Abonnement mensuel,1,Abonnement
1037,2023-12-09,Arkose Paris,Pack 10 séances,1,Pack
1037,2023-12-02,Arkose Paris,Abonnement mensuel,2,Abonnement
1037,2023-12-26,Arkose Lyon,Abonnement mensuel,1,Abonnement
1037,2023-12-28,Arkose Lyon,1 séance plein tarif,1,Unité
1037,2023-11-25,Arkose Paris,Pack 10 séances,2,Pack
1037,2023-12-25,Arkose Lyon,Pack 10 séances,1,Pack
1037,2023-11-13,Arkose Paris,Abonnement mensuel,1,Abonnement
1037,2023-09-19,Arkose Lyon,Pack 10 séances,1,Pack
1037,2023-09-10,Arkose Paris,Abonnement mensuel,1,Abonnement
1038,2023-11-10,Arkose Bordeaux,Pack 10 séances,1,Pack
1038,2023-09-26,Arkose Paris,Abonnement mensuel,3,Abonnement
1038,2023-11-08,Arkose Paris,Abonnement mensuel,1,Abonnement
1038,2023-10-05,Arkose Paris,Abonnement mensuel,3,Abonnement
1038,2023-11-19,Arkose Paris,1 séance plein tarif,1,Unité
1038,2023-09-25,Arkose Lyon,Abonnement mensuel,2,Abonnement
1038,2023-12-21,Arkose Bordeaux,Abonnement mensuel,2,Abonnement
1038,2023-12-12,Arkose Bordeaux,Pack 10 séances,1,Pack
1038,2023-12-10,Arkose Lyon,Abonnement mensuel,1,Abonnement
1038,2023-09-17,Arkose Paris,Pack 10 séances,2,Pack
1038,2023-12-31,Arkose Paris,Pack 10 séances,2,Pack
1038,2023-09-29,Arkose Paris,Abonnement mensuel,1,Abonnement
1039,2023-06-27,Arkose Lyon,Pack 10 séances,1,Pack
1039,2023-12-10,Arkose Lyon,1 séance plein tarif,1,Unité
1039,2023-08-27,Arkose Paris,Abonnement mensuel,1,Abonnement
1039,2023-10-22,Arkose Paris,Pack 10 séances,3,Pack
1039,2023-09-20,Arkose Paris,1 séance plein tarif,1,Unité
1039,2023-12-23,Arkose Lyon,1 séance plein tarif,1,Unité
1039,2023-10-28,Arkose Paris,1 séance plein tarif,1,Unité
1039,2023-10-08,Arkose Bordeaux,1 séance plein tarif,2,Unité
1040,2023-11-29,Arkose Lyon,Pack 10 séances,2,Pack
1040,2023-09-29,Arkose Paris,1 séance plein tarif,3,Unité
1040,2023-12-29,Arkose Paris,Pack 10 séances,2,Pack
1040,2023-09-06,Arkose Lyon,Abonnement mensuel,1,Abonnement
1040,2023-09-20,Arkose Paris,Abonnement mensuel,1,Abonnement
1040,2023-11-03,Arkose Lyon,Abonnement mensuel,1,Abonnement
1040,2023-12-29,Arkose Lyon,Pack 10 séances,1,Pack
1040,2023-11-05,Arkose Lyon,Pack 10 séances,1,Pack
1041,2023-07-27,Arkose Paris,Abonnement mensuel,1,Abonnement
1041,2023-06-05,Arkose Paris,Abonnement mensuel,2,Abonnement
1041,2023-09-07,Arkose Lyon,Pack 10 séances,1,Pack
1041,2023-05-19,Arkose Paris,Pack 10 séances,1,Pack
1041,2023-09-08,Arkose Paris,1 séance plein tarif,2,Unité
1042,2023-07-25,Arkose Paris,Pack 10 séances,2,Pack
1042,2022-11-29,Arkose Paris,1 séance plein tarif,1,Unité
1043,2023-11-02,Arkose Bordeaux,Abonnement mensuel,2,Abonnement
1043,2023-04-23,Arkose Lyon,Pack 10 séances,3,Pack
1043,2023-11-12,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1043,2023-10-25,Arkose Bordeaux,Abonnement mensuel,2,Abonnement
1043,2023-10-20,Arkose Bordeaux,Pack 10 séances,1,Pack
1043,2023-08-29,Arkose Lyon,Pack 10 séances,1,Pack
1043,2023-09-24,Arkose Lyon,Abonnement mensuel,1,Abonnement
1043,2023-06-28,Arkose Paris,1 séance plein tarif,1,Unité
1044,2023-09-18,Arkose Paris,Abonnement mensuel,1,Abonnement
1044,2023-10-02,Arkose Lyon,1 séance plein tarif,1,Unité
1044,2023-09-29,Arkose Paris,1 séance plein tarif,1,Unité
1044,2023-11-18,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1044,2023-09-17,Arkose Paris,Pack 10 séances,1,Pack
1044,2023-12-26,Arkose Paris,Abonnement mensuel,2,Abonnement
1044,2023-10-19,Arkose Bordeaux,Pack 10 séances,3,Pack
1044,2023-11-21,Arkose Bordeaux,1 séance plein tarif,1,Unité
1044,2023-11-26,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1044,2023-10-04,Arkose Paris,Abonnement mensuel,1,Abonnement
1044,2023-10-09,Arkose Lyon,Abonnement mensuel,1,Abonnement
1045,2023-09-18,Arkose Paris,Pack 10 séances,1,Pack
1045,2023-12-09,Arkose Paris,1 séance plein tarif,2,Unité
1045,2023-11-22,Arkose Lyon,Pack 10 séances,1,Pack
1045,2023-09-14,Arkose Paris,Pack 10 séances,1,Pack
1045,2023-12-31,Arkose Lyon,Abonnement mensuel,1,Abonnement
1045,2023-12-17,Arkose Paris,Pack 10 séances,1,Pack
1045,2023-10-06,Arkose Lyon,Abonnement mensuel,1,Abonnement
1045,2023-09-25,Arkose Paris,1 séance plein tarif,1,Unité
1045,2023-12-26,Arkose Bordeaux,Pack 10 séances,2,Pack
1045,2023-09-08,Arkose Lyon,Abonnement mensuel,2,Abonnement
1045,2023-10-08,Arkose Paris,Abonnement mensuel,3,Abonnement
1046,2023-12-07,Arkose Lyon,Pack 10 séances,1,Pack
1046,2023-11-19,Arkose Lyon,Pack 10 séances,1,Pack
1046,2023-03-29,Arkose Bordeaux,Abonnement mensuel,2,Abonnement
1046,2023-04-10,Arkose Paris,Pack 10 séances,1,Pack
1046,2023-03-11,Arkose Lyon,Pack 10 séances,2,Pack
1046,2023-11-16,Arkose Paris,1 séance plein tarif,1,Unité
1046,2023-04-09,Arkose Paris,Pack 10 séances,1,Pack
1047,2023-11-23,Arkose Lyon,Pack 10 séances,1,Pack
1047,2022-07-31,Arkose Bordeaux,Pack 10 séances,1,Pack
1047,2023-04-17,Arkose Lyon,1 séance plein tarif,2,Unité
1048,2023-11-17,Arkose Paris,1 séance plein tarif,1,Unité
1048,2023-09-07,Arkose Lyon,Pack 10 séances,1,Pack
1048,2023-09-22,Arkose Bordeaux,Pack 10 séances,1,Pack
1048,2023-10-25,Arkose Lyon,Pack 10 séances,2,Pack
1048,2023-11-29,Arkose Paris,Abonnement mensuel,3,Abonnement
1048,2023-10-02,Arkose Bordeaux,1 séance plein tarif,1,Unité
1048,2023-10-11,Arkose Lyon,1 séance plein tarif,3,Unité
1048,2023-09-16,Arkose Paris,Abonnement mensuel,1,Abonnement
1048,2023-12-30,Arkose Bordeaux,Pack 10 séances,1,Pack
1048,2023-12-05,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1049,2023-11-12,Arkose Paris,Pack 10 séances,1,Pack
1049,2023-11-15,Arkose Lyon,Pack 10 séances,2,Pack
